sequence,timestamp_us,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,filtered_ax
0,0,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.000000
1,10534,0.100000,0.000000,9.810000,0.000000,0.000000,0.000000,0.050000
2,21949,0.200000,0.000000,9.810000,0.000000,0.000000,0.000000,0.100000
3,37101,0.300000,0.000000,9.810000,0.000000,0.000000,0.000000,0.200000
4,51112,0.400000,0.000000,9.810000,0.000000,0.000000,0.000000,0.300000
5,68948,0.500000,0.000000,9.810000,0.000000,0.000000,0.000000,0.400000
6,83925,0.600000,0.000000,9.810000,0.000000,0.000000,0.000000,0.500000
7,99575,0.700000,0.000000,9.810000,0.000000,0.000000,0.000000,0.600000
8,114842,0.800000,0.000000,9.810000,0.000000,0.000000,0.000000,0.700000
9,125239,0.900000,0.000000,9.810000,0.000000,0.000000,0.000000,0.800000
10,136279,1.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.900000
11,146529,1.100000,0.000000,9.810000,0.000000,0.000000,0.000000,1.000000
12,162194,1.200000,0.000000,9.810000,0.000000,0.000000,0.000000,1.100000
13,176494,1.300000,0.000000,9.810000,0.000000,0.000000,0.000000,1.200000
14,238356,1.400000,0.000000,9.810000,0.000000,0.000000,0.000000,1.300000
15,346489,1.500000,0.000000,9.810000,0.000000,0.000000,0.000000,1.400000
16,454311,1.600000,0.000000,9.810000,0.000000,0.000000,0.000000,1.500000
17,551057,1.700000,0.000000,9.810000,0.000000,0.000000,0.000000,1.600000
18,671068,1.800000,0.000000,9.810000,0.000000,0.000000,0.000000,1.700000
19,780002,1.900000,0.000000,9.810000,0.000000,0.000000,0.000000,1.800000
